leagueId,tier,number
05a91d8b-c8d0-43e3-9835-27d0e4f5a281,GOLD,187
05a990da-7c6b-43b7-a735-674fe232e39f,GOLD,183
05b08e8b-81f0-4a3c-87aa-83ab6b02f3bc,BRONZE,63
05b8692b-9606-4139-b76d-f50c8af68530,IRON,18
05bfa34a-bb47-492c-b2f4-cd7e79e9cada,IRON,106
05c37d4a-80c6-46b3-853a-9ddf629b78ba,GOLD,182
05c53b89-0c5f-4145-81f4-7db1dff0728b,SILVER,177
05cbc7cf-bb22-4eef-a88a-214c924e5f88,GOLD,196
05ce767f-aa9c-4840-8a9d-60ee94b2e8ef,SILVER,180
05e3cd78-8857-4718-97b3-3a8709de4e00,IRON,26
05fbf9a4-d67c-44a3-91b4-7dfbd5c880c5,IRON,3
05fe8f34-6914-4668-91db-03373b883249,SILVER,176
0606e250-2f08-4ef2-a905-919e9fa44590,IRON,45
06286623-f101-450e-822e-3a0f09f7908c,SILVER,174
062b07e9-7e8b-451e-98fe-ffd26150946f,SILVER,170
062cb257-5ed1-49db-8039-c794886a83e3,SILVER,178
062f5c58-0a0c-4df0-83df-18a2324b4450,SILVER,106
0632cfdc-ad3d-418c-a2de-e63fe86552de,IRON,76
0641f448-530f-4684-9ad4-038b0ad23586,IRON,16
06494acb-3076-4cc7-8af4-68dd5bc60e98,GOLD,190
064e1c27-12bc-4935-a151-3cedce19b3b1,SILVER,109
064fd72e-d290-47fb-af26-4f5b0319f467,IRON,24
065f8ff7-efac-4d8f-abdc-d2149448fc00,IRON,20
066451e0-7b0c-43a4-bf59-a9df2dee1e95,GOLD,99
0666fbf7-2f8b-480a-837c-bd3a62f1e15b,SILVER,86
06681caa-fe31-42b1-b991-cf173d3cae54,BRONZE,64
066e7d9e-ddb6-4f9a-8821-d3cf4bd48c82,IRON,22
067883a7-5f80-425b-9627-fe7ef5ac209a,IRON,109
067d328f-fc79-461e-9e2d-2a5b0a015391,BRONZE,78
067ede4b-7561-4e67-a031-35e20aac5c9a,BRONZE,134
0688a475-c38a-4a07-9f4c-796597ecf627,SILVER,162
068947a8-2fdb-4d78-aa2a-00d74aba2050,BRONZE,61
068d849b-79d2-469d-b031-3127e5104e89,IRON,55
06975a73-1673-412c-a96f-50d9c21681e5,BRONZE,143
069c7568-1970-4db9-8449-f71e759a5f13,IRON,13
069f8a4e-64a6-4354-b959-511fcb332111,IRON,15
06a3d3dc-84bd-4d86-aef3-df791a935235,GOLD,190
06a95008-04db-43d4-84f8-ef53a7c070a4,BRONZE,144
06b41679-a8ec-4263-a2ac-4e91adf9b70b,BRONZE,149
06b58883-8857-4050-a84a-9fdca9570b80,IRON,32
06bc15eb-7933-457c-bce9-327d20a2c9ed,SILVER,183
06c19e7e-5a41-437b-b634-78ae3789d704,GOLD,187
06c2f652-c6a6-400e-98bb-827388f26a85,SILVER,179
06c35b4e-4e07-448c-b606-abd616ebf9aa,SILVER,121
06c6aeec-6add-48de-b8bd-c89d3efbbf1b,GOLD,188
06d7fec6-c619-440a-be1b-abc53fc26f42,IRON,19
06d96256-e5ac-4ab4-8f2b-e94e7f7740f3,GOLD,193
06de76f5-c52c-41aa-8130-481e2113fd95,BRONZE,79
06e2920c-ac11-4f03-9429-aa9e4d2d5aea,PLATINUM,104
06e69292-34ff-45d1-bb89-848f28d4bed7,SILVER,183
06e88f59-22ed-4b1f-85e2-2a9c92264fd5,PLATINUM,197
06ea620d-06e5-47c2-b2e3-d3186cebcc33,BRONZE,75
06ee6ffb-311c-433b-bcf7-fcdef5f6b006,GOLD,186
06f87ea7-6185-4420-8cec-c1c7313477e2,BRONZE,62
06fd1a4c-58b2-4d5b-83c5-0e999e3f4169,SILVER,169
06feb732-1bc5-4f81-bf41-b749f3003883,PLATINUM,198
070811d7-d8d6-4622-a375-28a4dd487ed6,GOLD,199
0710d752-9a52-4c7f-8166-d4803fbbf2e1,GOLD,189
0711273b-e001-4620-949a-817af541d821,SILVER,180
07165fd1-6269-49d0-b0d1-ace0627db5a4,SILVER,180
073df37b-8751-4378-9465-3e32bece1814,IRON,85
0740427d-ad83-4cc3-898e-45fbdcf35d99,GOLD,189
07479317-2f84-43df-8fb9-24578b557c3f,GOLD,193
074941dd-2007-445f-a867-1f6ab9a1816e,SILVER,113
075424a5-cccb-4254-bd01-168832b0badc,GOLD,192
0759026b-c487-4b2c-b763-6dc5e07c976a,SILVER,128
0765b799-2ec6-4bf6-91f2-cbe8f6ebf8e0,BRONZE,136
0775c61a-53b8-4115-8625-73b7d254287e,GOLD,193
0776b617-9106-4119-b853-0181babda125,GOLD,187
0779be36-e01c-4c72-84f5-5605e14bddd0,GOLD,188
077ca19f-ae49-4da1-9568-71134dc1f9bd,IRON,63
0781f7df-f87d-4878-ace6-0b4167a38b8e,IRON,99
07897d9b-d8fe-409a-b63d-d04bede9f9fd,BRONZE,67
078ec387-84c7-4a04-9a00-b4029b2bf331,SILVER,176
0791a609-5c0f-49e7-aa65-ec29bccfd713,BRONZE,127
0796cd2e-2175-415a-ae4e-10ada284acc2,SILVER,181
07973d0c-a36b-43e7-9e1b-5c9a243da52f,IRON,12
07977ada-0ac4-4a3e-80e8-5cfc8887e4df,IRON,14
079f406f-a14b-4b06-9859-d469d12c76a1,GOLD,193
07b2e41c-a52e-4e97-ad04-aa98984787a3,SILVER,184
07b7c7ad-1f66-4f00-8eda-c4803e680455,SILVER,92
07c0dbed-0d40-4aab-b6dc-d2cd461ceece,IRON,31
07d15cd8-0180-4025-a370-18061fe3efe6,BRONZE,71
07d922d3-d432-459b-a7a3-7beab47278a8,BRONZE,122
07ddd2c7-53c1-4a59-b50f-f1c1c1bcc130,IRON,75
07e1cd0b-87be-4993-a32a-d3e6dd7ff31b,BRONZE,160
07e8124e-ae68-44c4-8610-e66840391a3c,IRON,29
07f54560-f4fc-435d-bb60-7b81d8a0796e,IRON,70
07fc68c9-55c3-4fe0-948b-f52d19668e02,GOLD,194
